id,type,category,title,description,locationName,municipality,road,timestamp,endTime,severity,source,lng,lat
traffic-GUID50460715,roadwork,roadwork,"Tie 16231, Iisalmi. Tietyö. ",Nopeusrajoitus,"Tie 16231 välillä Matalalahti - Soinlahti, Iisalmi.
Tarkempi paikka: Paikasta Soinlahti 300 m, vaikutusalue 2,7 km, suuntaan Matalalahti.",,,2026-02-03T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460714,roadwork,roadwork,"Tie 347, Mänttä-Vilppula. Tietyö. ","Tie 347 välillä Vilppula - Mänttä, Mänttä-Vilppula.
Tarkempi paikka: Paikasta Vilppulan keskusta, vaikutusalue 100 m, suuntaan Virtaintien kiertoliittymä.","Tie 347 välillä Vilppula - Mänttä, Mänttä-Vilppula.
Tarkempi paikka: Paikasta Vilppulan keskusta, vaikutusalue 100 m, suuntaan Virtaintien kiertoliittymä.",,,2026-02-04T22:00:00.000Z,2026-02-06T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460710,roadwork,roadwork,"Tie 9, Outokumpu. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 9 välillä Kuopio - Joensuu, Outokumpu.
Tarkempi paikka: Paikasta Ahonkylä, rautatien ylikulkusilta 8,1 km, vaikutusalue 1,8 km, suuntaan Outokummun tienhaara.",,,2026-02-04T22:00:00.000Z,2026-02-05T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460709,roadwork,roadwork,"Tie 24, Hollola. Tietyö. ",Nopeusrajoitus,"Tie 24 välillä Lahti - Jämsä, Hollola.
Tarkempi paikka: Paikasta Tervamäki 1,7 km, vaikutusalue 600 m, suuntaan Kalliola.",,,2026-02-08T22:00:00.000Z,2026-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460693,traffic,disruption,"Tie 5075, eli Tolkintie, Lieksa. Liikennetiedote. ","Jäätie auki, Nopeusrajoitus","Tie 5075, eli Tolkintie, Lieksa.
Tarkempi paikka: laivalaituri. Koli - Vuonislahti jäätie.",,,2026-02-02T15:00:00.000Z,,low,Fintraffic Tieliikennekeskus Tampere,29.979174,63.153859
traffic-GUID50460692,roadwork,roadwork,"Tie 23, Petäjävesi. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi, Liikenne pysäytetään ajoittain","Tie 23 välillä Pori - Jyväskylä, Petäjävesi.
Tarkempi paikka: Paikasta Asunta 12,9 km, vaikutusalue 100 m, suuntaan Jutkala.",,,2026-02-15T22:00:00.000Z,2026-02-26T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460685,roadwork,roadwork,"Tie 387, Lappeenranta. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain, Ajokaistoja on kavennettu","Tie 387 välillä Lappeenranta - Vaalimaa, Lappeenranta.
Tarkempi paikka: Paikasta Ylämaa, suuntaan Ylijärventie.",,,2026-02-03T22:00:00.000Z,2026-02-04T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,28.008216,60.789618
traffic-GUID50460682,roadwork,roadwork,"Tie 6, Lappeenranta. Tietyö. ","Tie 6 välillä Kouvola - Joensuu, Lappeenranta.
Tarkempi paikka: Paikasta Mattilan liittymä 600 m, vaikutusalue 400 m, suuntaan Viipurintien liittymä.","Tie 6 välillä Kouvola - Joensuu, Lappeenranta.
Tarkempi paikka: Paikasta Mattilan liittymä 600 m, vaikutusalue 400 m, suuntaan Viipurintien liittymä.",,,2026-02-02T22:00:00.000Z,2026-02-06T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460632,roadwork,roadwork,"Tie 1, Lohja. Tietyö. ",Ajokaista suljettu liikenteeltä,"Tie 1 välillä Helsinki - Turku, Lohja.
Tarkempi paikka: Paikasta Karnaisten tunneli 1,5 km, suuntaan Orosmäen tunneli.",,,2026-02-04T20:00:00.000Z,2026-02-04T22:00:00.000Z,low,Fintraffic Tieliikennekeskus Turku,24.001909,60.312789
traffic-GUID50460631,roadwork,roadwork,"Tie 1, Lohja. Tietyö. ",Ajokaista suljettu liikenteeltä,"Tie 1 välillä Helsinki - Turku, Lohja.
Tarkempi paikka: Paikasta Pitkämäen tunneli 1,0 km, suuntaan Tervakorven tunneli.",,,2026-02-04T18:00:00.000Z,2026-02-04T20:00:00.000Z,low,Fintraffic Tieliikennekeskus Turku,23.936302,60.328481
traffic-GUID50460621,roadwork,roadwork,"Tie 51, eli Länsiväylä, Espoo. Tietyö. ",Nopeusrajoitus,"Tie 51, eli Länsiväylä, Espoo.
Tarkempi paikka: Paikasta Matinkylän liittymä 800 m, suuntaan Kehä II:n liittymä.",,,2026-02-08T22:00:00.000Z,2026-02-09T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50460615,roadwork,roadwork,"Tie 7, Kotka. Tietyö. ","Nopeusrajoitus, Ajokaistoja on kavennettu","Tie 7 välillä Kotka - Hamina, Kotka.
Tarkempi paikka: Suurniitty.",,,2026-02-03T22:00:00.000Z,2026-02-04T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,26.948358,60.521932
traffic-GUID50460612,roadwork,roadwork,"Tie 12858, Pori. Tietyö. ","Tie 12858 välillä Luvia - Leppäkorpi, Pori.
Tarkempi paikka: Paikasta Leppäkorpi 1,7 km, vaikutusalue 1,2 km, suuntaan Hankreetin tienhaara.","Tie 12858 välillä Luvia - Leppäkorpi, Pori.
Tarkempi paikka: Paikasta Leppäkorpi 1,7 km, vaikutusalue 1,2 km, suuntaan Hankreetin tienhaara.",,,2026-02-01T22:00:00.000Z,2026-12-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460588,roadwork,roadwork,"Tie 7252, Mustasaari. Tietyö. ",Liikenne ohjataan vuorotellen tapahtumapaikan ohi,"Tie 7252 välillä Kvevlax - Petsmo, Mustasaari.
Tarkempi paikka: Paikasta Kvevlax, suuntaan Kvevlaxin kirkonkylä.",,,2026-02-03T22:00:00.000Z,2026-02-10T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,21.842054,63.160349
traffic-GUID50460547,roadwork,roadwork,"Tie 476, Heinävesi. Tietyö. ","Paikalla tilapäinen liikennevalo-ohjaus, Liikenne pysäytetään ajoittain","Tie 476 välillä Pohjoislahti - Ylämylly, Heinävesi.
Tarkempi paikka: Paikasta Heinävesi 6,9 km, vaikutusalue 200 m, suuntaan Sapun aseman tienhaara.",,,2026-02-01T22:00:00.000Z,2026-02-20T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460292,traffic,disruption,"Tie 12105, Salo. Liikennetiedote. ","Tie on suljettu liikenteeltä, Tapahtumapaikalla on käytössä kiertotie","Tie 12105 välillä Lupaja - Kovamäki, Salo.
Tarkempi paikka: Paikasta Perniön keskusta 800 m, vaikutusalue 100 m, suuntaan Lupaja.",,,2026-01-28T04:00:00.000Z,2026-02-13T16:00:00.000Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460519,roadwork,roadwork,"Tie 72, Pieksämäki. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 72 välillä Mikkeli - Pieksämäki, Pieksämäki.
Tarkempi paikka: Paikasta Virtasalmentie 600 m, vaikutusalue 400 m, suuntaan Montola.",,,2026-01-28T22:00:00.000Z,2026-02-05T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460514,roadwork,roadwork,"Tie 4251, Heinola, Hartola. Tietyö. ",Ajokaista suljettu liikenteeltä,"Tie 4251 välillä Koskenmylly - Haminanmäki.
Tarkempi paikka: Paikasta Kuivajärvi 2,8 km, vaikutusalue 6,8 km, suuntaan Syrjäkoski.",,,2026-01-29T22:00:00.000Z,2026-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460506,roadwork,roadwork,"Tie 11436, eli Kyläjoentie, Nurmijärvi. Tietyö. ","Tie 11436, eli Kyläjoentie, Nurmijärvi.
Tarkempi paikka: Paikasta Puontila 1,5 km, vaikutusalue 900 m, suuntaan Kyläjoentien tasoristeys.","Tie 11436, eli Kyläjoentie, Nurmijärvi.
Tarkempi paikka: Paikasta Puontila 1,5 km, vaikutusalue 900 m, suuntaan Kyläjoentien tasoristeys.",,,2026-01-27T22:00:00.000Z,2026-12-31T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50460472,roadwork,roadwork,"Tie 16341, Siilinjärvi. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 16341 välillä Härkäkäänne - Marjomäki, Siilinjärvi.
Tarkempi paikka: Paikasta Kuuslahti 200 m, vaikutusalue 300 m, suuntaan Kortteisenmäki.",,,2026-01-26T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460461,roadwork,roadwork,"Tie 12, Huittinen. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 12 välillä Rauma - Tampere, Huittinen.
Tarkempi paikka: Paikasta Raijala 100 m, vaikutusalue 3,0 km, suuntaan Peräkallionkylän risteys.",,,2026-01-27T22:00:00.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460405,roadwork,roadwork,"Tie 4, eli Lahdenväylä, Vantaa. Tietyö. ","Tie 4, eli Lahdenväylä, Vantaa.
Tarkempi paikka: Paikasta Koivukylän liittymä 500 m, suuntaan Kehä III:n liittymä.","Tie 4, eli Lahdenväylä, Vantaa.
Tarkempi paikka: Paikasta Koivukylän liittymä 500 m, suuntaan Kehä III:n liittymä.",,,2026-01-25T22:00:00.000Z,2026-02-06T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50460402,roadwork,roadwork,"Tie 1091, Lohja. Tietyö. ","Nopeusrajoitus, Ajokaistoja on kavennettu","Tie 1091 välillä Hyrsylä - Vivola, Lohja.
Tarkempi paikka: Paikasta Hyrsylänmutkan tienhaara 100 m, suuntaan Sitarlantie.",,,2026-01-25T22:00:00.000Z,2026-02-08T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,24.015859,60.384929
traffic-GUID50460397,roadwork,roadwork,"Tie 8, Närpiö. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 8 välillä Pori - Vaasa, Närpiö.
Tarkempi paikka: Paikasta Närpiön tienhaara 9,7 km, vaikutusalue 600 m, suuntaan Brännback.",,,2026-01-25T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460382,roadwork,roadwork,"Tie 19762, eli Juotasjärventie, Rovaniemi. Tietyö. ",Nopeusrajoitus,"Tie 19762, eli Juotasjärventie, Rovaniemi.
Tarkempi paikka: Paikasta Juotasluusuan silta 5,3 km, suuntaan Juotasjärven ranta.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460381,roadwork,roadwork,"Tie 19616, Tornio. Tietyö. ",Nopeusrajoitus,"Tie 19616 välillä Korpikylä - Mustajärvi, Tornio.
Tarkempi paikka: Paikasta Mustajärven tasoristeys 2,8 km, suuntaan Hurujoki.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460380,roadwork,roadwork,"Tie 924, Simo. Tietyö. ",Nopeusrajoitus,"Tie 924 välillä Simo - Nuupas, Simo.
Tarkempi paikka: Paikasta Rovaseläntie 3,2 km, vaikutusalue 100 m, suuntaan Alaniemi.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460379,roadwork,roadwork,"Tie 19557, eli Virkakummuntie, Tornio. Tietyö. ",Nopeusrajoitus,"Tie 19557, eli Virkakummuntie, Tornio.
Tarkempi paikka: Paikasta Virkakumpu, suuntaan kääntöpaikka.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460378,roadwork,roadwork,"Tie 5, Pelkosenniemi. Tietyö. ",Nopeusrajoitus,"Tie 5 välillä Kemijärvi - Sodankylä, Pelkosenniemi.
Tarkempi paikka: Paikasta Kairala 3,6 km, vaikutusalue 100 m, suuntaan Aapajärvi.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460377,roadwork,roadwork,"Tie 19905, eli Seitäjärventie, Savukoski. Tietyö. ",Nopeusrajoitus,"Tie 19905, eli Seitäjärventie, Savukoski.
Tarkempi paikka: Paikasta Seitajärvi, tien loppu 800 m, suuntaan Värriö.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460376,roadwork,roadwork,"Tie 9262, Keminmaa. Tietyö. ",Nopeusrajoitus,"Tie 9262 välillä Lautiosaari - Sompujärvi, Keminmaa.
Tarkempi paikka: Paikasta Lautiosaari 14,0 km, suuntaan Akkunusjoen silta.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460375,roadwork,roadwork,"Tie 929, Tervola. Tietyö. ",Nopeusrajoitus,"Tie 929 välillä Tervola - Pakisvaara, Tervola.
Tarkempi paikka: Paikasta Koivuniemi 400 m, vaikutusalue 100 m, suuntaan Sivakkajoki.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460374,roadwork,roadwork,"Tie 5, Kemijärvi. Tietyö. ",Nopeusrajoitus,"Tie 5 välillä Kuusamo - Kemijärvi, Kemijärvi.
Tarkempi paikka: Paikasta Puikkola 6,7 km, vaikutusalue 100 m, suuntaan Joutsijärven seisake.",,,2026-02-01T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460371,roadwork,roadwork,"Tie 554, Tervo. Tietyö. ",Nopeusrajoitus,"Tie 554 välillä Karttula - Säviä, Tervo.
Tarkempi paikka: Paikasta Pirttimäki, vaikutusalue 9,1 km, suuntaan Koivulahti.",,,2026-01-25T22:00:00.000Z,2027-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460341,roadwork,roadwork,"Tie 8, Pedersören kunta. Tietyö. ",Nopeusrajoitus,"Tie 8 välillä Vaasa - Kokkola, Pedersören kunta.
Tarkempi paikka: Paikasta Pedersöre, Pännäisen liittymä 3,4 km, vaikutusalue 300 m, suuntaan Edsevön liittymä.",,,2026-01-18T22:00:00.000Z,2026-11-30T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460340,roadwork,roadwork,"Tie 18637, Tyrnävä, Kempele. Tietyö. ",Liikenne pysäytetään ajoittain,"Tie 18637 välillä Kempele - Ängeslevä.
Tarkempi paikka: Välillä Haapamaantie, Kempele - Murto, Tyrnävä.",,,2026-01-20T22:00:00.000Z,2026-02-11T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460326,roadwork,roadwork,"Tie 16267, eli Hyvärilänniemi, Leppävirta. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi, Liikenne pysäytetään ajoittain","Tie 16267, eli Hyvärilänniemi, Leppävirta.
Tarkempi paikka: Paikasta kääntöpaikka 600 m, vaikutusalue 300 m, suuntaan Metsälä.",,,2026-02-01T22:00:00.000Z,2026-05-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460324,roadwork,roadwork,"Tie 2, Harjavalta. Tietyö. ","Nopeusrajoitus, Nopeusrajoitus, Nopeusrajoitus, Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi","Tie 2 välillä Huittinen - Pori, Harjavalta.
Tarkempi paikka: Paikasta Harjavallan liittymä, vaikutusalue 400 m, suuntaan Merstola.",,,2026-01-11T22:00:00.000Z,2026-02-20T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460321,roadwork,roadwork,"Tie 12, Tampere. Tietyö. ",Ajokaista suljettu liikenteeltä,"Tie 12 välillä Tampere - Lahti, Tampere.
Tarkempi paikka: Paikasta Naistenlahden liittymä, vaikutusalue 2,3 km, suuntaan Santalahden liittymä.",,,2026-02-05T22:00:00.000Z,2026-02-06T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460307,roadwork,roadwork,"Tie 12, Tampere. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 12 välillä Tampere - Lahti, Tampere.
Tarkempi paikka: Tampereen rantatunneli.",,,2026-02-17T22:00:00.000Z,2026-02-19T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,23.756849,61.503143
traffic-GUID50460291,roadwork,roadwork,"Tie 12105, Salo. Tietyö. ",Tie on suljettu liikenteeltä,"Tie 12105 välillä Lupaja - Kovamäki, Salo.
Tarkempi paikka: Paikasta Perniön keskusta 800 m, vaikutusalue 100 m, suuntaan Lupaja.",,,2026-01-27T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460272,roadwork,roadwork,"Tie 110, Turku. Tietyö. ","Liikenne ohjataan vuorotellen tapahtumapaikan ohi, Liikenne pysäytetään ajoittain","Tie 110 välillä Salo - Turku, Turku.
Tarkempi paikka: Paikasta Skanssinmäen risteyssilta, vaikutusalue 200 m, suuntaan Piispanristi. Ramppi.",,,2026-01-25T22:00:00.000Z,2026-02-06T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460271,roadwork,roadwork,"Tie 45, Nurmijärvi. Tietyö. ",Nopeusrajoitus,"Tie 45 välillä Tuusula - Hyvinkää, Nurmijärvi.
Tarkempi paikka: Paikasta Raala 900 m, vaikutusalue 1,1 km, suuntaan Terrisuo.",,,2026-01-20T22:00:00.000Z,2026-07-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50460268,roadwork,roadwork,"Tie 15115, eli Sattilantie, Mikkeli. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi","Tie 15115, eli Sattilantie, Mikkeli.
Tarkempi paikka: Paikasta Sattilan tienhaara, vaikutusalue 6,3 km, suuntaan Laurikkala.",,,2026-01-18T22:00:00.000Z,2026-05-29T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460260,roadwork,roadwork,"Tie 1456, Mäntsälä. Tietyö. ","Nopeusrajoitus, Ajokaista suljettu liikenteeltä","Tie 1456 välillä Järvenpää - Mäntsälä, Mäntsälä.
Tarkempi paikka: Paikasta Hirvihaara, vaikutusalue 1,1 km, suuntaan Ohkola.",,,2026-01-25T22:00:00.000Z,2026-06-30T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50460256,roadwork,roadwork,"Tie 50, eli Kehä III, Vantaa. Tietyö. ","Tie 50, eli Kehä III, Vantaa.
Tarkempi paikka: Välillä Voutila - Vanha Hämeenlinnantie.","Tie 50, eli Kehä III, Vantaa.
Tarkempi paikka: Välillä Voutila - Vanha Hämeenlinnantie.",,,2026-01-18T22:00:00.000Z,2026-02-27T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50460160,roadwork,roadwork,"Tie 12551, eli Maanpääntie, Pöytyä. Tietyö. ",Nopeusrajoitus,"Tie 12551, eli Maanpääntie, Pöytyä.
Tarkempi paikka: Paikasta Mäkipään tienhaara 2,7 km, vaikutusalue 7,8 km, suuntaan Halla.",,,2026-01-18T22:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460156,roadwork,roadwork,"Tie 15116, eli Vatilantie, Mikkeli. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi","Tie 15116, eli Vatilantie, Mikkeli.
Tarkempi paikka: Paikasta Tuukkala 1,1 km, vaikutusalue 800 m, suuntaan Airola.",,,2026-01-18T22:00:00.000Z,2026-05-29T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460072,roadwork,roadwork,"Tie 11, Nokia, Sastamala. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan kaksisuuntaisena toiselle ajoradalle","Tie 11 välillä Tampere - Pori.
Tarkempi paikka: Paikasta Rieniläntie 300 m, vaikutusalue 20,9 km, suuntaan Lähdeniitty.",,,2026-01-11T22:00:00.000Z,2026-02-28T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460002,traffic,disruption,"Tie 14129, eli Rutalahden tie, Asikkala. Painorajoitus. ","Ajoneuvon suurin sallittu massa, Kelirikko","Tie 14129, eli Rutalahden tie, Asikkala.
Tarkempi paikka: Välillä Tornio, tien loppu - Jytisevänmäki.",,,2025-12-17T22:00:00.000Z,,medium,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459946,roadwork,roadwork,"Tie 9070, Hyrynsalmi. Tietyö. ","Nopeusrajoitus, Liikenne pysäytetään ajoittain","Tie 9070 välillä Kuhmo - Moisiovaara, Hyrynsalmi.
Tarkempi paikka: Paikasta Mäntylammentie 800 m, vaikutusalue 10,9 km, suuntaan Moisiovaara.",,,2026-01-11T22:00:00.000Z,2026-03-31T20:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50459888,roadwork,roadwork,"Tie 7, eli Porvoonväylä, Vantaa. Tietyö. ",Nopeusrajoitus,"Tie 7, eli Porvoonväylä, Vantaa.
Tarkempi paikka: Paikasta Jakomäen liittymä 600 m, vaikutusalue 2,4 km, suuntaan Östersundomin liittymä.",,,2026-01-11T22:00:00.000Z,2026-02-20T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Helsinki,25,65
traffic-GUID50459870,traffic,disruption,"Tie 17583, eli Isokylä, Seinäjoki. Liikennetiedote. ",Tapahtumapaikalla on käytössä kiertotie,"Tie 17583, eli Isokylä, Seinäjoki.
Tarkempi paikka: Paikasta Vuorensyrjän tasoristeys 2,0 km, suuntaan Niemistö. Kamarun silta.",,,2026-01-07T06:00:00.000Z,2026-02-10T16:00:00.000Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50459869,roadwork,roadwork,"Tie 17583, eli Isokylä, Seinäjoki. Tietyö. ","Tie 17583, eli Isokylä, Seinäjoki.
Tarkempi paikka: Paikasta Vuorensyrjän tasoristeys 2,0 km, suuntaan Niemistö.","Tie 17583, eli Isokylä, Seinäjoki.
Tarkempi paikka: Paikasta Vuorensyrjän tasoristeys 2,0 km, suuntaan Niemistö.",,,2026-01-06T22:00:00.000Z,2026-02-10T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
